District_Name,State_Full,Agency ID - NCES Assigned,FIPS_Code,Total_Students,FTE_Teachers,Student_Teacher_Ratio,State_Abbr,Poverty_Rate,Median_Household_Income,Unemployment_Rate,Graduation_Outcome
THE EXPERIENTIAL SCHOOL OF GREENSBORO,NORTH CAROLINA,3700425.0,37081,339.0,24.27,13.967861557478368,NC,14.8,65890.0,3.9000000000000004,Medium (80-89%)
THE EXPLORIS SCHOOL,North Carolina,3700043.0,37183,447.0,36.27,12.324234904880065,NC,7.2,103084.0,3.0,High (>=90%)
THE FAMILY PLACE PCS,DISTRICT OF COLUMBIA,1100108.0,11001,0.0,0.0,,DC,15.200000000000001,104643.0,4.9,Medium (80-89%)
THE FARM AT MISSION MONTESSORI ACADEMY (91340),Arizona,400902.0,04013,51.0,,,AZ,11.100000000000001,86973.0,3.4000000000000004,Medium (80-89%)
THE FORKS PLT SCHOOL DEPT,Maine,2300052.0,23025,0.0,0.0,,ME,13.3,56422.0,4.2,Medium (80-89%)
THE FOUNDERS ACADEMY CHARTER SCHOOL,New Hampshire,3303298.0,33011,432.0,38.5,11.220779220779221,NH,6.5,103181.0,2.3000000000000003,High (>=90%)
THE FRANKLIN SCHOOL OF INNOVATION,North Carolina,3700361.0,37021,694.0,51.44,13.49144634525661,NC,12.9,71218.0,2.7,Medium (80-89%)
THE GATHERING PLACE,TEXAS,4801471.0,48029,628.0,29.74,21.116341627437794,TX,14.700000000000001,69755.0,3.7,Medium (80-89%)
THE GENIUS SCHOOL,INDIANA,1813231.0,18097,74.0,11.0,6.7272727272727275,IN,15.600000000000001,66653.0,3.3000000000000003,Medium (80-89%)
THE GILBERT SCHOOL DISTRICT,Connecticut,905372.0,09160,410.0,41.0,10.0,CT,8.4,91206.0,,High (>=90%)
THE GOVERNOR'S SCHOOL @ INNOVATION PARK,Virginia,5100252.0,51153,,,,VA,6.7,128758.0,2.7,High (>=90%)
THE GRANDE INNOVATION ACADEMY (92978),ARIZONA,400953.0,04021,829.0,,,AZ,11.8,77290.0,4.1000000000000005,Medium (80-89%)
THE GREAT ACADEMY,New Mexico,3500142.0,35001,127.0,5.93,21.416526138279934,NM,13.5,68286.0,3.5,Medium (80-89%)
THE GREENE SCHOOL,Rhode Island,4400017.0,44003,199.0,11.5,17.304347826086957,RI,9.0,89914.0,2.7,High (>=90%)
THE GREENSPIRE SCHOOL,Michigan,2600983.0,26055,245.0,17.55,13.96011396011396,MI,7.4,82824.0,3.4000000000000004,High (>=90%)
THE HAWBRIDGE SCHOOL,North Carolina,3700132.0,37001,585.0,42.43,13.787414565166156,NC,12.5,66395.0,3.4000000000000004,Medium (80-89%)
THE HEIGHTS CHARTER DISTRICT,CALIFORNIA,601489.0,06073,265.0,8.71,30.424799081515495,CA,10.100000000000001,103476.0,3.9000000000000004,Medium (80-89%)
